org_id,mo_id,mo_name,is_work
23668,63,Владимирский округ,1
23939,73,Звездное,1
49465,60,Литейный округ,1
49548,82,Адмиралтейский округ,1
49558,63,Владимирский округ,1
49562,70,Гагаринское,1
49576,76,Посадский,1
49579,73,Звездное,1
49595,111,Шушары,1
49811,6,Озеро Долгое,1
49817,3,N 65,1
49871,73,Звездное,1
49884,73,Звездное,1
50440,77,Аптекарский Остров,1
63625,72,Пулковский меридиан,1
76386,37,Финляндский округ,1
76464,77,Аптекарский Остров,1
76465,60,Литейный округ,1
76496,61,Смольнинское,1
76524,61,Смольнинское,1
76531,78,Петровский,1
76538,60,Литейный округ,1
76547,79,Чкаловское,1
76553,77,Аптекарский Остров,1
76558,76,Посадский,1
76594,66,Гавань,1
76643,60,Литейный округ,1
76649,68,Остров Декабристов,1
76708,74,Введенский,1
76764,63,Владимирский округ,1
76837,61,Смольнинское,1
79420,3,N 65,1
79499,3,N 65,1
89772,38,N 21,1
97856,84,Измайловское,1
97857,60,Литейный округ,1
98141,83,Семеновский,1
98151,80,Коломна,1
98178,111,Шушары,1
98185,26,Балканский,1
98194,34,Шувалово-Озерки,1
98201,55,Нарвский округ,1
98202,26,Балканский,1
98204,26,Балканский,1
98211,73,Звездное,1
98266,65,Васильевский,1
98292,64,N 7,1
98298,64,N 7,1
98475,6,Озеро Долгое,1
98477,6,Озеро Долгое,1
98512,63,Владимирский округ,1
98565,81,Сенной округ,1
98568,81,Сенной округ,1
98571,42,Невская застава,1
98573,63,Владимирский округ,1
98584,7,Юнтолово,1
98590,6,Озеро Долгое,1
98596,6,Озеро Долгое,1
98651,62,Лиговка-Ямская,1
98680,6,Озеро Долгое,1
98681,3,N 65,1
98732,6,Озеро Долгое,1
98925,62,Лиговка-Ямская,1
98937,53,Дачное,1
98946,54,Автово,1
98947,53,Дачное,1
98951,54,Автово,1
98967,21,Волковское,1
98988,22,N 72,1
98989,51,Княжево,1
98991,52,Ульянка,1
98997,56,Красненькая речка,1
99018,72,Пулковский меридиан,1
99021,53,Дачное,1
99042,52,Ульянка,1
99065,51,Княжево,1
99067,72,Пулковский меридиан,1
99072,51,Княжево,1
99073,69,Московская Застава,1
99078,11,Южно-Приморский,1
99080,56,Красненькая речка,1
99085,13,Урицк,1
99089,72,Пулковский меридиан,1
99093,13,Урицк,1
99105,52,Ульянка,1
99116,52,Ульянка,1
99204,70,Гагаринское,1
99206,84,Измайловское,1
100098,77,Аптекарский Остров,1
100211,77,Аптекарский Остров,1
100822,69,Московская Застава,1
101035,18,Малая Охта,1
101048,19,Пороховые,1
101155,49,Оккервиль,1
101189,49,Оккервиль,1
101195,48,Невский округ,1
101475,59,N 78,1
101509,77,Аптекарский Остров,1
120419,71,Новоизмайловское,1
120490,72,Пулковский меридиан,1
125561,23,Купчино,1
125674,24,Георгиевский,1
125880,24,Георгиевский,1
126207,43,Ивановский,1
149250,33,Сергиевское,1
149304,34,Шувалово-Озерки,1
149319,34,Шувалово-Озерки,1
149325,31,Сосновское,1
149330,34,Шувалово-Озерки,1
149334,34,Шувалово-Озерки,1
149354,41,Прометей,1
149384,34,Шувалово-Озерки,1
149423,32,N 15,1
149431,38,N 21,1
149432,38,N 21,1
149476,28,Парголово,1
149480,34,Шувалово-Озерки,1
149509,31,Сосновское,1
149533,28,Парголово,1
149536,28,Парголово,1
149541,38,N 21,1
149619,35,Гражданка,1
149624,36,Академическое,1
149628,38,N 21,1
149630,34,Шувалово-Озерки,1
149634,31,Сосновское,1
149638,31,Сосновское,1
149664,40,Северный,1
149668,36,Академическое,1
149678,38,N 21,1
149738,36,Академическое,1
160710,18,Малая Охта,1
160847,68,Остров Декабристов,1
161215,18,Малая Охта,1
161325,29,Сампсониевское,1
161428,56,Красненькая речка,1
162349,78,Петровский,1
162504,61,Смольнинское,1
171193,72,Пулковский меридиан,1
171283,73,Звездное,1
175256,45,Рыбацкое,1
175461,45,Рыбацкое,1
175671,111,Шушары,1
175985,111,Шушары,1
176113,85,Екатерингофский,1
176190,49,Оккервиль,1
176328,19,Пороховые,1
176339,19,Пороховые,1
176347,85,Екатерингофский,1
176363,19,Пороховые,1
176365,19,Пороховые,1
176402,5,Комендантский Аэродром,1
176458,70,Гагаринское,1
176484,66,Гавань,1
176546,13,Урицк,1
176575,12,Сосновая Поляна,1
176648,23,Купчино,1
176659,52,Ульянка,1
176751,26,Балканский,1
176950,55,Нарвский округ,1
176979,58,Дворцовый округ,1
177162,53,Дачное,1
177198,59,N 78,1
177234,69,Московская Застава,1
177435,75,Кронверкское,1
177474,11,Южно-Приморский,1
177757,26,Балканский,1
177783,11,Южно-Приморский,1
177800,11,Южно-Приморский,1
177961,81,Сенной округ,1
178024,81,Сенной округ,1
178039,42,Невская застава,1
178124,45,Рыбацкое,1
178145,11,Южно-Приморский,1
178147,87,Металлострой,1
178178,17,Большая Охта,1
178280,48,Невский округ,1
179040,81,Сенной округ,1
180303,42,Невская застава,1
180527,7,Юнтолово,1
193061,43,Ивановский,1
193363,46,Народный,1
193375,46,Народный,1
201667,32,N 15,1
207792,5,Комендантский Аэродром,1
207877,5,Комендантский Аэродром,1
207914,18,Малая Охта,1
213965,72,Пулковский меридиан,1
214206,20,Ржевка,1
216110,45,Рыбацкое,1
216130,45,Рыбацкое,1
216143,45,Рыбацкое,1
216637,22,N 72,1
216711,37,Финляндский округ,1
216767,61,Смольнинское,1
216893,61,Смольнинское,1
217038,12,Сосновая Поляна,1
217066,58,Дворцовый округ,1
217076,59,N 78,1
217100,11,Южно-Приморский,1
217355,18,Малая Охта,1
218443,49,Оккервиль,1
242140,5,Комендантский Аэродром,1
248868,37,Финляндский округ,1
248883,37,Финляндский округ,1
248897,39,Пискаревка,1
249830,50,Правобережный,1
249856,49,Оккервиль,1
291834,15,Горелово,1
294839,16,Полюстрово,1
379681,16,Полюстрово,1
379921,17,Большая Охта,1
531036,17,Большая Охта,1
4213543,60,Литейный округ,1
4222087,73,Звездное,1
4223106,11,Южно-Приморский,1
4224733,31,Сосновское,1
4239670,3,N 65,1
4240243,2,Лахта-Ольгино,1
49493,60,Литейный округ,0
49612,73,Звездное,0
49753,60,Литейный округ,0
76446,61,Смольнинское,0
76561,77,Аптекарский Остров,0
76590,78,Петровский,0
76822,63,Владимирский округ,0
76827,63,Владимирский округ,0
79493,3,N 65,0
79510,3,N 65,0
79517,3,N 65,0
89421,73,Звездное,0
98161,85,Екатерингофский,0
98191,111,Шушары,0
98210,73,Звездное,0
98214,70,Гагаринское,0
98253,23,Купчино,0
98286,64,N 7,0
98304,66,Гавань,0
98308,64,N 7,0
98310,64,N 7,0
98400,66,Гавань,0
98405,68,Остров Декабристов,0
98418,64,N 7,0
98471,6,Озеро Долгое,0
98586,6,Озеро Долгое,0
98589,81,Сенной округ,0
98643,61,Смольнинское,0
98658,62,Лиговка-Ямская,0
98672,3,N 65,0
98677,3,N 65,0
98684,6,Озеро Долгое,0
98717,24,Георгиевский,0
98765,3,N 65,0
98770,3,N 65,0
98923,21,Волковское,0
98927,54,Автово,0
98940,54,Автово,0
98998,51,Княжево,0
99005,54,Автово,0
99011,53,Дачное,0
99061,69,Московская Застава,0
99082,72,Пулковский меридиан,0
99118,81,Сенной округ,0
99200,84,Измайловское,0
100207,75,Кронверкское,0
100831,69,Московская Застава,0
101158,49,Оккервиль,0
101199,48,Невский округ,0
101207,49,Оккервиль,0
124764,83,Семеновский,0
125678,24,Георгиевский,0
125780,24,Георгиевский,0
125782,23,Купчино,0
125839,24,Георгиевский,0
125885,23,Купчино,0
125952,23,Купчино,0
149218,33,Сергиевское,0
149255,34,Шувалово-Озерки,0
149259,33,Сергиевское,0
149350,41,Прометей,0
149388,33,Сергиевское,0
149390,32,N 15,0
149399,33,Сергиевское,0
149415,30,Светлановское,0
149483,32,N 15,0
149538,28,Парголово,0
160686,61,Смольнинское,0
160697,61,Смольнинское,0
160819,67,Морской,0
160834,68,Остров Декабристов,0
161220,63,Владимирский округ,0
161273,79,Чкаловское,0
161447,30,Светлановское,0
163174,26,Балканский,0
163912,3,N 65,0
167399,7,Юнтолово,0
176007,19,Пороховые,0
176129,85,Екатерингофский,0
176146,64,N 7,0
176203,49,Оккервиль,0
176317,5,Комендантский Аэродром,0
176367,19,Пороховые,0
176408,21,Волковское,0
176465,43,Ивановский,0
176475,68,Остров Декабристов,0
176488,54,Автово,0
176492,66,Гавань,0
176518,21,Волковское,0
176530,13,Урицк,0
176562,14,Константиновское,0
176937,69,Московская Застава,0
176944,72,Пулковский меридиан,0
176997,13,Урицк,0
177117,70,Гагаринское,0
177202,59,N 78,0
177253,69,Московская Застава,0
177291,63,Владимирский округ,0
177394,7,Юнтолово,0
177555,77,Аптекарский Остров,0
177820,11,Южно-Приморский,0
178123,6,Озеро Долгое,0
178195,18,Малая Охта,0
178207,50,Правобережный,0
178269,48,Невский округ,0
178351,18,Малая Охта,0
178459,19,Пороховые,0
178466,19,Пороховые,0
178955,48,Невский округ,0
179059,6,Озеро Долгое,0
179315,75,Кронверкское,0
180498,8,Коломяги,0
180515,8,Коломяги,0
180543,81,Сенной округ,0
207872,5,Комендантский Аэродром,0
217056,42,Невская застава,0
217338,18,Малая Охта,0
217781,6,Озеро Долгое,0
218077,37,Финляндский округ,0
218188,11,Южно-Приморский,0
218431,48,Невский округ,0
219191,48,Невский округ,0
219203,18,Малая Охта,0
248853,37,Финляндский округ,0
249853,48,Невский округ,0
250072,37,Финляндский округ,0
290388,15,Горелово,0
293463,36,Академическое,0
294747,37,Финляндский округ,0
294760,16,Полюстрово,0
294820,16,Полюстрово,0
378087,30,Светлановское,0
4222427,14,Константиновское,0
4237384,49,Оккервиль,0
4436165,63,Владимирский округ,0
